,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41.0,Yes,Travel_Rarely,,,1.0,,Life Sciences,1.0,1.0,2.0,Female,94.0,3.0,2.0,,4.0,Single,,19479.0,8.0,Y,Yes,11.0,,1.0,80.0,0.0,8.0,0.0,,6.0,,0.0,
1,,No,,279.0,Research & Development,,,Life Sciences,1.0,2.0,3.0,Male,61.0,2.0,2.0,Research Scientist,2.0,Married,,24907.0,1.0,Y,,23.0,,4.0,,1.0,10.0,,3.0,10.0,,,7.0
2,37.0,Yes,,1373.0,,2.0,2.0,,1.0,4.0,,Male,92.0,2.0,1.0,Laboratory Technician,3.0,Single,,2396.0,6.0,Y,Yes,15.0,3.0,,80.0,0.0,7.0,3.0,,,0.0,,0.0
3,,No,Travel_Frequently,1392.0,Research & Development,3.0,4.0,Life Sciences,,,,Female,56.0,3.0,1.0,Research Scientist,3.0,,2909.0,23159.0,1.0,Y,Yes,11.0,3.0,3.0,,,8.0,3.0,,8.0,,3.0,0.0
4,27.0,No,Travel_Rarely,591.0,Research & Development,2.0,1.0,Medical,1.0,7.0,1.0,Male,40.0,,1.0,,2.0,,3468.0,16632.0,,Y,No,,3.0,4.0,80.0,1.0,6.0,,3.0,2.0,2.0,2.0,
5,32.0,No,,1005.0,Research & Development,2.0,2.0,,1.0,8.0,,Male,79.0,,1.0,,4.0,Single,3068.0,11864.0,0.0,,No,13.0,3.0,3.0,80.0,0.0,,2.0,,7.0,7.0,,
6,,No,,,Research & Development,3.0,3.0,Medical,,10.0,3.0,Female,81.0,4.0,1.0,Laboratory Technician,1.0,Married,2670.0,9964.0,,Y,Yes,20.0,4.0,,80.0,3.0,12.0,3.0,,1.0,,0.0,0.0
7,30.0,No,Travel_Rarely,1358.0,Research & Development,24.0,1.0,Life Sciences,1.0,11.0,,,67.0,3.0,1.0,Laboratory Technician,3.0,Divorced,,13335.0,,Y,No,,4.0,2.0,80.0,1.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0
8,38.0,No,Travel_Frequently,216.0,Research & Development,,3.0,Life Sciences,1.0,12.0,4.0,Male,44.0,2.0,3.0,,3.0,Single,9526.0,,0.0,Y,No,21.0,4.0,,,0.0,10.0,2.0,3.0,9.0,7.0,1.0,8.0
9,,No,Travel_Rarely,1299.0,Research & Development,,3.0,,1.0,13.0,3.0,Male,94.0,3.0,2.0,Healthcare Representative,3.0,,5237.0,16577.0,6.0,Y,No,,3.0,2.0,80.0,2.0,17.0,3.0,2.0,7.0,7.0,,7.0
